CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
3537234;150553;0;0;0;0;0;0;0;0
5586720;150553;0;0;0;0;0;0;0;0
9840389;150553;0;0;0;0;0;0;0;0
2615991;150555;4;8;4;0;0;6;0;0
2622491;150563;0;13;4;0;0;3;0;0
3654796;150565;3;11;7;2;1;7;0;0
2316013;150570;1;13;2;0;0;4;0;0
2676923;150580;4;11;8;1;0;6;0;0
2711184;150590;7;17;13;1;1;11;0;0
2331756;150600;2;8;4;0;1;5;0;0
2316641;150613;11;42;0;1;1;1;0;0
2316668;150613;0;0;0;0;0;0;0;0
2504901;150613;0;2;28;0;0;25;1;0
2504944;150613;0;0;0;0;0;0;0;0
3185591;150613;0;0;0;0;0;0;0;0
5498465;150613;36;20;6;4;0;11;0;19
2317990;150616;4;14;7;1;0;4;0;0
2318326;150616;0;0;0;0;0;0;0;0
2312077;150618;0;0;0;0;0;0;0;0
2312093;150618;5;16;6;1;0;7;0;0
2312131;150618;4;8;10;1;0;8;0;0
2677040;150618;4;9;6;0;0;5;0;0
2331292;150619;3;12;6;2;0;6;0;0
2314819;150620;14;12;14;2;0;7;0;0
2316064;150630;3;7;5;1;0;4;0;0
2316161;150640;1;4;6;0;0;4;0;0
9177140;150650;10;10;20;0;0;20;0;0
9282912;150655;0;8;4;0;0;4;0;0
2333589;150658;5;10;5;0;0;3;0;0
2674785;150660;7;15;7;0;0;8;0;0
2329565;150670;7;25;5;0;0;10;0;0
6106005;150670;3;0;11;0;0;2;0;0
2329891;150680;12;3;18;0;0;5;0;0
2329905;150680;86;67;42;0;6;49;10;7
2330083;150680;0;0;0;0;0;16;0;0
5585422;150680;50;30;4;3;0;16;0;49
6440630;150680;0;0;0;0;0;0;0;0
8001448;150680;0;0;18;0;1;1;0;0
2314436;150700;10;41;8;1;0;15;0;0
3542017;150710;4;5;6;0;0;5;0;0
2312298;150715;4;9;4;0;0;4;0;0
2317958;150720;5;12;6;1;0;8;0;0
2694530;150730;4;6;19;1;0;10;0;0
2694891;150730;13;21;0;1;5;0;0;0
6446132;150730;3;5;4;0;1;0;0;0
7896824;150730;0;0;0;0;0;0;0;0
2333430;150745;8;17;8;0;0;8;0;0
2676125;150747;2;11;7;1;0;4;0;0
2312387;150750;2;8;6;1;0;3;0;0
2676192;150760;10;24;8;2;0;12;0;0
2316021;150770;1;17;7;0;0;7;0;0
3001083;150775;2;5;1;0;0;3;0;0
2330946;150780;4;6;3;1;0;2;0;0
2316552;150790;9;23;6;1;0;10;0;0
6779069;150795;8;10;12;3;0;10;8;0
2619946;150797;2;7;8;0;0;4;0;0
2360411;150800;9;24;10;0;0;10;0;0
2622459;150800;15;37;26;1;0;19;0;0
6495427;150800;0;0;0;0;0;0;0;0
6425542;150803;4;4;4;1;0;3;0;0
2620006;150805;4;5;7;0;1;4;0;0
2318172;150808;6;10;15;0;2;10;0;0
2318180;150808;7;20;8;0;1;8;0;0
2621614;150810;38;44;24;1;10;27;16;15
2621622;150810;0;0;0;0;0;0;0;0
2621630;150810;0;0;0;0;0;0;0;0
2621649;150810;16;12;27;0;0;6;0;0
3607372;150810;0;0;0;0;0;0;0;0
2317028;150812;4;6;7;2;0;8;0;0
2616513;150812;8;37;4;1;0;14;0;0
